,,,List 1,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Sum
ca,Garden,Theory,1,बगीचा,सिद्धांत,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,10
cc,Coffee,River,2,कॉफ़ी,नदी,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,22
ca,Shoes,Virtue,3,जूते,गुण,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,11
aa,Soul,Freedom,4,आत्मा,स्वतंत्रता,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,13
cc,String,Pencil,5,तार,पेंसिल,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,15
ac,Fact,Woman,6,तथ्य,महिला,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,12
cc,Wheat,Chair,7,गेहूँ,कुरसी,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,14
aa,History,Health,8,इतिहास,स्वास्थ्य,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
cc,Flower,Star,9,फूल,तारा,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,-,1,0,1,10
ac,Idea,Tree,10,विचार,पेड़,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
aa,Series,Duty,11,शृंखला,कर्तव्य,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,8
ca,Magazine,Event,12,पत्रिका,घटना,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,9
ac,Fate,Dress,13,किस्मत,पोशाक,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,6
ca,Potato,Moment,14,आलू,पल,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
aa,Effort,Truth,15,प्रयास,सत्य,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
ac,Opinion,House,16,राय,मकान,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,9
,,,,,Total,3,7,4,9,5,7,5,0,7,0,1,14,1,9,2,3,6,5,0,4,7,5,9,5,4,8,8,4,2,6,150
,,,List 2,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,465
ca,Magazine,Event,1,पत्रिका,घटना,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,19
cc,String,Pencil,2,तार,पेंसिल,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,26
ca,Shoes,Virtue,3,जूते,गुण,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,21
aa,Series,Duty,4,शृंखला,कर्तव्य,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,21
aa,Soul,Freedom,5,आत्मा,स्वतंत्रता,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,23
cc,Flower,Star,6,फूल,तारा,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,24
cc,Wheat,Chair,7,गेहूँ,कुरसी,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,24
ac,Fate,Dress,8,किस्मत,पोशाक,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,14
ac,Opinion,House,9,राय,मकान,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,19
cc,Coffee,River,10,कॉफ़ी,नदी,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27
aa,Effort,Truth,11,प्रयास,सत्य,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,9
ac,Idea,Tree,12,विचार,पेड़,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,9
ca,Garden,Theory,13,बगीचा,सिद्धांत,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,15
aa,History,Health,14,इतिहास,स्वास्थ्य,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,11
ca,Potato,Moment,15,आलू,पल,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,8
ac,Fact,Woman,16,तथ्य,महिला,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,18
,,,,,Total,7,12,15,12,7,8,7,4,13,4,3,15,6,15,5,8,10,5,9,8,12,11,13,11,11,14,11,10,8,14,288
