,,,List 1,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
ca,Garden,Theory,1,बगीचा,सिद्धांत,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cc,Coffee,River,2,कॉफ़ी,नदी,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1
ca,Shoes,Virtue,3,जूते,गुण,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
aa,Soul,Freedom,4,आत्मा,स्वतंत्रता,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
cc,String,Pencil,5,तार,पेंसिल,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
ac,Fact,Woman,6,तथ्य,महिला,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cc,Wheat,Chair,7,गेहूँ,कुरसी,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
aa,History,Health,8,इतिहास,स्वास्थ्य,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
cc,Flower,Star,9,फूल,तारा,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
ac,Idea,Tree,10,विचार,पेड़,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
aa,Series,Duty,11,श्रृंखला,कर्तव्य,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ca,Magazine,Event,12,पत्रिका,घटना,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0
ac,Fate,Dress,13,किस्मत,पोशाक,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
ca,Potato,Moment,14,आलू,पल,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aa,Effort,Truth,15,प्रयास,सत्य,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
ac,Opinion,House,16,राय,मकान,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,,,,,Total,2,6,13,2,6,3,3,0,0,0,3,3,4,5,3,5,2,4,0,0,7,6,5,6,0,1,0,0,8,2,1
,,,List 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca,Magazine,Event,1,पत्रिका,घटना,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0
cc,String,Pencil,2,तार,पेंसिल,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0
ca,Shoes,Virtue,3,जूते,गुण,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1
aa,Series,Duty,4,श्रृंखला,कर्तव्य,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aa,Soul,Freedom,5,आत्मा,स्वतंत्रता,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1
cc,Flower,Star,6,फूल,तारा,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0
cc,Wheat,Chair,7,गेहूँ,कुरसी,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0
ac,Fate,Dress,8,किस्मत,पोशाक,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
ac,Opinion,House,9,राय,मकान,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
cc,Coffee,River,10,कॉफ़ी,नदी,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1
aa,Effort,Truth,11,प्रयास,सत्य,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
ac,Idea,Tree,12,विचार,पेड़,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
ca,Garden,Theory,13,बगीचा,सिद्धांत,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
aa,History,Health,14,इतिहास,स्वास्थ्य,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
ca,Potato,Moment,15,आलू,पल,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
ac,Fact,Woman,16,तथ्य,महिला,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
,,,,,Total,6,11,16,6,9,9,7,0,4,4,7,4,8,9,3,10,2,7,0,0,12,8,6,10,5,4,6,2,13,4,4

